KODE MATERIAL,NAMA,SPESIFIKASI
E98TC0951,TIG WELD TORCH,MODEL: AW-18 H951 || CABLE LENGTH: 8M
D98EB0005,WIRE GUIDES,INLET GUIDE || ALUMINUM WIRE || WIRE SIZE: .047 (1.2 mm) || P/N: 221912
D77TR0002,LINER,LENGTH: 3.3 m || 1.6 mm || P/N: K970F74  ||
D98MA0010,LINER,BERNARD BTB MIG GUNS || ALUMINUM WIRE || LENGTH: 4.57 m || P/N: 415-35-2
D98MA0019,LINER,LENGTH: 3 m || 1.2 mm || P/N: K970F71  ||
D77TR0912,LINER,6 M || 0.9-1.2 mm || P/N U4172H01
D52Ti5101,PUSH BUTTON,ILLUMINATED PUSH BUTTON || MA3L-M2341-G || COLOUR: GREEN || RATED VOLTAGE: 24 VDC ||
B40AB2422,COMPRESSOR,PANASONIC || TYPE: 2JS438D3GA02 || 1 PHASE 220/240 VAC || 50 Hz || R22
B52TQ2874,WELDING CONTROL PCB,DAIHEN OTC XD500S  || P/N. P10174X00
D52TP0801,CAPACITOR,Capacitor 20+2 MicroFarad || 400-50Hz || P/N:EN60252-1
D73Ti0323,PCB,TIG WELDING (HILCO) || HM-04-A3 || 2007.03.23
D76SU0001,HOLDER BLADE,GRAPHTEC BLADE HOLDER FOR ROLAND SILHOUETTE CAMEO VINYL CUTTING PLOTTER
TBFS014,FAN,AXIAL FAN 120mm X 120mm X 38mm || 220VAC-0.14A ||
ZFAN001,FAN,AXIAL FAN || 12VDC - 0.20A
D98TD4116,PINCH ROLLER,RODA KARET || 4x11x16mm || ROLAND MIMAKI GRAPHTEC CE5000 120 VINYL CUTTER CUTTING PLOTTER
B98EG4244,PCB MESIN LAS TIG (HYCO),TIG 315 PAC/DC SPESIFIKASI : SF-5E233154 94V-0 (HK-85-CO(01)1004244
ZDYN001,DYNABOLT,DYNABOLT M 14 脳 100 mm
ZCAP005,CAPACITOR,CAPACITOR 35 uf  || 400/450 v
ZCAP006,CAPACITOR,CAPACITOR 45uf  || 400 / 450 v
ZCLP001,CLAMP,CLAMP SUPERIOR 3 in 80-85mm
ZCAP007,CAPACITOR,CAPACITOR 60uF  || 400 VAC
D52TB1020,LAMPU,LAMPU TL || 220 VAC 50 Hz || 18 W || 1025 LM
B52TB1040,LAMPU,LAMPU TL || 220 VAC 50 Hz || 36 W || 2500 LM
ZCAP008,CAPACITOR,CAPACITOR 250 VAC. 300MFD
ZCAP009,CAPACITOR,CAPACITOR || 12 uf || 450 VAC
ZCAP010,CAPACITOR,CAPACITOR 8 uf || 250 WV AC
ZCAP011,CAPACITOR,Capacitor || 4 uf || 400/450VAC
ZLAM006,LAMPU TOSHIBA,LAMPU TKPL 1
ZLAM007,LAMPU PHILIPS,LAMPU TL RING TL-E 22W/54- 765
ZLAM008,LAMPU PHILIPS,LAMPU TL RING TL-E 32W/S4 -765
ZLAM009,LAMPU PHILIPS,LAMPU TL RING 22 W Philips Putih TL-E 20W/ 54-765
ZLAM010,LAMPU PHILIPS,LAMPU HPL-N 80W
ZLAM011,LAMPU OSRAM,60 W  || 220 V - E 27/ ES
B52TE2011,LAMPU,ROTARY LAMP || DIAMETER: 10.5 cm || HEIGHT: 16 cm || SUPPLY VOLTAGE 12-24 VDC || COLOUR: RED
B52TE7050,LAMPU,LAMPU SOROT TOKI ||220VAC ||500W
D98AA0003,BEARING,PILLOW BLOCK BEARING || UCP 218 || BORE DIA: 90 mm || HOUSING: P 218 || BEARING: UC 218
B74SJ22314,BEARING,SPHERICAL ROLLER BEARING || SKF EXPLORER 22314 E || ID: 70mm || OD: 150mm || W: 51mm
D98AA0005,BEARING,DEEP GROOVE BALL BEARING || 6215-2Z ID: 75 mm || OD: 130 mm || WIDTH: 25 mm
D98SJ65150,BEARING,SELF-ALIGNING BALL BEARING || 1313EKTN9 || ID: 65 mm || OD: 160 mm || WIDTH: 33 mm
ZDRT0001,ELECTRO MOTOR CLEANER,ELECTRO MOTOR CLEANER || Drathon 130
ZTAM049,SILICONE LUBRICANT,UZZIEL 012 SILICONE LUBRICANT
ZTAM050,GEAR AND WIRE LUBRICANT,UZZIEL 031 GEAR AND WIRE LUBRICANT
ZDRT0002,RED INSULATING VARNISH,RED INSULATING VARNISH Drathon 170
ZTAM051,FILTER OLI,POC175
D98AB2009,OIL FILTER ELEMENT,P/N: 88290014-484 || for SULLAIR WS 0710 AC AIR SCREW COMP
ZTAM052,US ELEMENT OIL FILTER,L03.2085
E97UX2552,OIL FILTER,P/N. 250025-526  || for SULLAIR LS20 AIR SCREW COMP.
ZTAM053,KHD DEUTZ OIL FILTRATION,1174418
ZTAM054,DONALDSON LUBE FILTER,J86-11950
ZTAM055,SCREW COMPRESSOR OIL FILTER 250,W1374
ZTAM056,MULTIPURPOSE LUBRICANT,WL - 46 MULTIPURPOSE LUBRICANT @400ml
D98AB1014,SEPARATOR ELEMENT,P/N: 88290015-049 || for SULLAIR WS 0710 AC AIR SCREW COMP
D98AB35801,FUEL FILTER,YANMAR || OD: 76mm || ID: M20 X 1.5mm || HEIGHT: 162mm || P/N: 129907-55801
ZTAM057,CORIUM ADHESIVE,C 4040
ZTAM058,AIR / OIL FILTER ELEMENT SEPARATOR,AIR / OIL FILTER ELEMENT SEPARATOR || P/N: 2901 0523 00
ZTAM059,SEPARATOR WATER FILTER ASSY,SEPARATOR WATER FILTER ASSY || P/N: 129242-55700
ZTAM060,FILTER OLI,SFN-08
D98AB1013,AIR FILTER ELEMENT,P/N: 88290014-486 || for SULLAIR WS 0710 AC AIR SCREW COMP
D98AB2001,Filter,TCM FD30Z5P/N214A7-52081
XX0001,FILTER AIR ELEMENT,ELE-5547-IR
D98AB3002,FUEL FILTER,FUEL FILTER FUEL FILTER F-1004
XX0002,FILTER AIR ELEMENT,ELE-5547-IR
XX0003,FILTER AIR ELEMENT,ELE-5547-IR
ZTAM061,HYDRAULIC SUCTION FILTER TYPE,WT.321505
ZTAM062,Fuel Filter,KX 36
ZTAM063,AIR FILTER FIRE RETARDANT,20801-03091
ZTAM064,PENETRANT SPOTCHECK,PENETRANT SPOTCHECK SKL - SP1
ZTAM065,Copper gasket,Seyton 1027
ZDRT0003,OPEN GEAR & WIRE LUBE,OPEN GEAR & WIRE LUBE Drathon 280
ZTAM066,Kit black magic,Tire gel
ZTAM067,Pickling Gel for cleanning stainless,CT501 NB
ZTAM068,Fuel cartiridge,Hi - cook
ZTAM069,Panasonic LED TUBE G13,16W
ZSTP001,STOP KONTAK,STOP KONTAK ISI 1/16A TANAM/INBOW
ZSTP002,STOP KONTAK,STOP KONTAK ISI 1/16A TEMPEL/OUTBOW
ZLAM012,LAMPU,LAMPU HPL-N 125W
ZLAM013,Philips powertone,80w
ZLAM014,LAMPU,PHILIPS LAMPU SOROT 120W E27 230V Spot 12D
ZLAM015,LAMPU,LAMPU INFRARED PAR 38 DAYA 88W
B52TN4106,BATTERY,LC-V064R5NA (6V)
B52TD1400,BALLAST,PHILIPS BHL 400L 200  || INPUT 220V-50HZ  || 400W HPL-HPI(PLUS)
B52TE3150,BALLAST,PHILIPS BHL 250L 200  || INPUT 220V-50HZ  || 250W HPL-HPI(PLUS) LAMP
ZBLS001,BALLAST,BALLAST BHL 125L 200 125W
ZBLS002,BALLAST,BALLAST BSX 55H 05 || SODIUN LAMP SOX 55W
MTGDA007,MCB,MCB 16A 5SX23 C16 480VAC 3P
ZKRN001,KRAN,KRAN AIR WASTAFEL 1/2 Y 316 FA
D52TE6803,LAMPU,PILOT LAMP LED COMPLETED DIGITAL VOLTMETER || VOLTAGE: 50 - 450 VAC || COLOUR: RED || DIAMETER: 22 mm
D52TE6805,LAMPU,PILOT LAMP LED COMPLETED DIGITAL VOLTMETER || VOLTAGE: 50 - 450 VAC || COLOUR: YELLOW || DIAMETER: 22 mm
D98SJ2316,ADAPTER SLEEVE,ADAPTER SLEEVE FOR METRIC SHAFT || H2316 || ID: 70 mm || LENGTH: 78 mm
B98AA2316,BEARING,PILLOW BLOCK BEARING UNIT || UKP316H || SHAFT 脴70 mm || HOUSING P316 || BALL BEARING UK316 || SLEEVE ADAPTER H2316
ZRES001,RESERVOIR,TABUNG RESERVOIR UDARA + NEPLE QUICOPLER
ZTAM070,MCCB,630A || LV432894 50kA/415VAC. 4 poles
ZTOR001,CIRCUIT BREAKER,TERMAL MOTOR PROTECTION 3RV1021-1CA10 RANGE1.8A-2.5A
ZPLC001,Smart Rellay,SMART RELAY LOGO 6ED 052-2HB00-0BA6
D98AB1005,AIR FILTER,AF40-N04D-8Z || AIR FILTER BODY SIZE 40 || THREAD TYPE: NPT 1/2 || FLOAT TYPE AUTO DRAIN (N.O.) || MAX PRESS: 150 PSI
D98AB1016,AIR FILTER REGULATOR,THREAD TYPE: Rc 1/4 || PRESSURE GAUGE: WITH LIMIT INDICATOR || SET PRESSURE: 0.85 MPa
TBMS055,COIL SOLENOID,ID: 22mm || OD:45mm  || L: 50mm || VOLTAGE: 12 VDC
ZTEMP001,TEMPERATURE SENSOR,AG15ECX007 SCARICO TEMP.COMPR. 115 V
D98AB1008,AIR REGULATOR,BODY SIZE:30 || THREAD TYPE: Rc 1/4 || MOUNTING: WITH BRACKET || PRESSURE GAUGE: WITH LIMIT INDICATOR || SET PRESSURE: 0.05 - 0.8 MPa
ZPSU001,POWER SUPPLY,POWER SUPPLY 12 V 10A
ZFNC001,UNIT FANUC IO,A02B-0319-C001
ZTAM071,Unknown,FPZ14030KVP500pF
ZTAM072,Unknown,FPZ14030KVP500pF
ZTAM073,DISPLAY,UP30DEA
ZTAM074,unknown,FPZ14030KVP500pF
ZTAM075,Unknown,FPZ14030KVP500
ZTAM076,Unknown,FPZ14030KVP500pF
ZTAM077,Unknown,FPZ14030KVP500pF
TBMS057,COLLET,PART NO: 3214000225 || TYPE: SSKEP50T-1 || for CNC MILLING TYPE: PRW-6340
ZCOL001,COLLET,CNC PLANO MILLER BARU
D98BB0005,SEAL,HYDRAULIC SHEAR || H-3013. H-4013 || NO. DRAWING 4101023 || UNIT 4 (RIGHT CYLINDER) || NO INDEX. 37
D98AB1017,AIR FILTER,P/N: AF50-06D-A || BODY SIZE:50 || THREAD TYPE: Rc 3/4 || MAXIMUM OPERATING PRESSURE: 1MPa
D52TP4367,SEQUENCE VALVE ASSY,HYDRAULIC SHEAR H2565. H3065. H4065. H3013 || NO. DRAWING 4010367A || NO. UNIT 16 || NO INDEX 1
D52UM0203,LOAD BREAK SWITCH,RAT CURRENT: 400 A || RAT VOLTAGE: 415 VAC || HANDLE: EXTERNAL FRONT OPERATION || BREAK CAP: 3200 A
ZTAM078,Lubricating Pump (For Grease),SKA-214 NO 3801
D52TP4405,NEEDLE VALVE ASSY,HYDRAULIC SHEAR H2565. H3065. H4065. H3013 || NO. DRAWING 4101405A || NO. UNIT 17 || NO INDEX 1
D52TP3606,SOLENOID VALVE,P/N: 2W500-50 || NORMALY CLOSED || PORT SIZE: G 2 || MATERIAL: BRASS || VOLTAGE: 220V || PRESSURE: 0-10 bar ||
D52TP3601,SOLENEOID VALVE,4WE 6 D62/EG24N9K4 || MNR: R900561274 || 24 VDC || 1.25 A
D52TP4961,S.R. VALVE ASSY,HYDRAULIC SHEAR H2565. H3065. H4065. H3013 || NO. DRAWING 4010961a || NO. UNIT 15 || NO INDEX 1
D52TG0102,LCD DISPLAY,P/N: LQ10D368 || DIAGONAL SIZE: 10.4 || DISPLAY MODE: NORMALLY WHITE
D52TP0315,REDUCING VALVE,HYDRAULIC SHEAR H2565. H3065. H4065. H3013 || TYPE: DR10P-1.0/315N || NO. UNIT 18 || NO INDEX 39
ZOLI002,OLI,10W-40 SN/CF 4L
ZOLI001,OLI,SAE 20 W-50 4L
D31WH0801,OIL,SSR ULTRA COOLANT || SAE 10W-20 || ISO VG 46 || P/N 38459582 || @20 LITER
D81SR0009,AIR ACCU,YUASA @ 1 LTR BTL
ZGRS002,Cobra chasis Grease hijau no 3( gemuk pelumas),Grease hijau no 3 15 Kg
ZCAT001,CAT,CAT WARNA BIRU 1KG
ZCAT002,CAT,CAT WARNA PUTIH 1KG
ZGRS001,GREASE,GREASE Shell Gadus 18 kg
TBMS007,ACCU ZUUR,ACCU ZUUR || H2SO4 || 1L
ZTAM079,DISC CLUTCH,DISC CLUTCH MITSUBISHI 91A21-00401
D98NA0005,Couer clutch,13553-10301
D98CA1560,Starter,P/n 2-s-81100-156-0
ZTAM080,LINER TEFLON,4.5 LONG. DIA  || 1.2 - 1.6 mm
ZTAM082,LAMPU,SOX 55 W PHILIPS
ZTAM083,PHILIPS,TCW 060 / 118
ZTAM084,LEUCHTENTECHNIK TROPIC,IP 66 ITALY || 1脳 18 W
ZTAM085,LAMPU,HT- 6002  || 24V 100 /90 W
ZINS0016,LAMPU,HPLN OSRAM 125 W
ZINS0015,LAMPU,rotary Light warning light LTES -5121 RED
ZTAM086,BEARING,51109
ZINS0014,LAMPU,Downlight E27 3.5 Inch Putih MEIWA DL -995
ZINS0013,WARNING LIGHT,MODEL LTE -1101 :12V -24 VDC
D98CA5001,FITTING,P/N: BRC-00028-AMP-PCS-CRM || E27 || CURRENT: 6A || VOLTAGE:220V
ZINS0012,LAMPU,FIRE EMERGENCY EVACUATION SIGN LUMINAIRES
ZINS0011,SIFON,CHROME PLATED BOTTLE TRAP 1 1/4 脳 1 1/4
ZINS0010,SIFON,SIFON WASTAFEL MATERIAL STAINLESS
ZINS0009,DOOR CLOSER,DOOR CLOSER 300 SERIES
ZINS0008,PUSH BUTTON SWITCH,Power Push Button Switch BS-216B 15A 500v 2.2KW 3 Phase
ZINS0007,SWITCH REGULATOR,SWITCH REGULATOR KIPAS ANGIN 6 POSISI 5 SPEED
ZTAM087,PRECIO,BOTTLE TRAP
ZINS0006,STOP KRAN,STOP KRAN PVC || 1/2 FEMALE THREAD
ZINS0005,BOX MCB 3 PHASE,HIRO 3 PHASE
ZINS0004,BOX MCB,1 PHASE BBC
ZTAM088,HARDWARE,EGO HARDWARE
ZINS0003,Junction Box,Panjang 8cm x lebar 8 cm tinggi 4.5 cm || MG010301 IP 44 waterproof
ZINS0002,Junction Box,Type 4 X Cross
ZINS0001,Junction Box,TYPE 20 mm CUT - OUT
ZTAM089,LEGRAN,IP 66/IP 67  || 240 -415 V
B52UM8209,STOP KONTAK,MOBILE SOCKET || 3 PHASE || 5 POLE || 32 A || 380/415 VAC || P/N: 58209
D52TD2050,LAMP BALL,HPI-T MEDIUM WATTAGE || 250 WATT || COOL WHITE || 20500 LUMEN
D98TI0202,THYRISTOR,MITSUBISHI MODULE W-W0873 || TYPE TM100SZ-M || NO: 720026G
TBMS037,SIFON,SIFON WASTAFEL MATERIAL PVC
B52TB2039,KONTAKTOR,42VAC  ||25A
ZTAM090,FUSE,FUSE KACA 5A-250V || DIAMETER 6MM || PANJANG: 30MM
ZTAM091,FUSE,FUSE KACA 10A-250V || DIAMETER 6MM || PANJANG: 30MM
ZTAM092,FUSE,FUSE KACA 1A-250V || DIAMETER 6MM || PANJANG: 30MM
ZTAM093,FUSE,FUSE KACA 3A-250V || DIAMETER 6MM || PANJANG: 30MM
ZTAM094,FUSE,FUSE KACA 2A-250V || DIAMETER 6MM || PANJANG: 30MM
ZTAM095,ORING,ORING || CS: 2.5mm || ID:30mm OD:35mm NBR
ZTAM096,ORING,ORING CS: 2mm || ID: 21mm || OD: 25mm VITON
B57TL01022,KRAN AIR,MERK ONDA 1/2 -CLS 04
B57UJ00341,KRAN AIR,MERK ONDA DIA 3/4
B52TI0303,CAM SWITCH,6 POSITION || IDEC ACSNK-364-C3004
B52TN4203,BATTERY,LITHIUM BATTERY || CR17450SE-R || 3V
B52TP3627,SOLENOID VALVE,VF5120-1DZ-03  || PORT SIZE 3/8 || RATED VOLTAGE 100 VAC || LIGHT INDICATOR
B98MA0119,SPECIAL WASHER,HYDRAULIC SHEAR H-2565/H-3065/H-4065 || NO. DRAWING 4010874 || NO. UNIT 02 || NO. INDEX 76
B98MA4873,BELT,V BELT || A58 || INS LENGTH: 58 || OUT LENGTH: 60 || HEIGHT: 5/16 || WIDTH: 1/2
C79RP0640,CARBON BRUSH,DIAMETER 6 mm || LENGTH 40 mm
D52TB0012,CONTACTOR,HMU 12 || COIL: 24-27 V 50/60 Hz || ITH || 20 A
D52TC2114,RELAY,MY4NJ || COIL: 100/110 VAC 50 Hz || 14 PIN || OUT: 5A
D52TC2315,RELAY SOCKET,SOCKET RELAY MY4NJ || 14 PIN
D52TC2333,RELAY,HH23PN-T || COIL: 100 V 50 Hz || 3 NC || 3 NO || CURRENT: 6A
D52TC2440,RELAY SOCKET,SOCKET RELAY HH23PN-T || 11 PIN || TP 311S
D52TI708250,PENDANT SWITCH,SINGLE SPEED || 8 BUTTON || RATED VOLTAGE: 120 VAC ||RATED CURRENT: 3 A
D52TP3609,SOLENOID VALVE,PROPORTIONAL VALVE || SMC VEP 3121-2 || 0.1-0.9 MPa || RC 1/4
D52TP6050,ADAPTER SLEEVE,ADAPTER SLEEVE FOR METRIC SHAFT || H313 || ID: 60 mm || LENGTH: 50 mm
D73TE1024,POWER SUPPLY,S82K-10024 || IN: 200-240 VAC 1.5 A 50Hz || OUT: 24 VDC 4.2 A
D73TI0187,CONE DISK SPRING,HYDRAULIC SHEAR || H-30113 || UNIT NO:2 || INDEX NO:14+41 || DRAWING NO: 4010187
D73TI03230,SPRING,MATERIAL: WIRE-CARBON STEEL 3RD CLASS || DIA WIRE: 3.2mm || OD SPRING: 30mm || PITCH: 9.325mm
D73TI0440,CONE DISK SPRING,HYDRAULIC SHEAR || H-2565.H3065.H4065 || UNIT NO:2  || INDEX NO:14 || DRAWING NO: 4010440A
D73TI0553,SPRING,MATERIAL: WIRE-CARBON STEEL 3RD CLASS || DIA WIRE: 5mm || OD SPRING: 53mm || PITCH: 11.833mm
D73TI0670,DRIVE GEAR DRIVE WHEEL,BANDSAW || H-650HD || NO. UNIT 06 || INDEX NO. 23 || PARTS NO. 600670e
D73TI0671,DRIVE GEAR TRANSMISSION,BANDSAW || H-650HD || NO. UNIT 05 || INDEX NO. 46 || PARTS NO. 600671b
D66QG5309,SILICONE SEALANT,RTV SILICONE RED || TYPE:650 || P/N: 65309
D73TI4425,CARBON BRUSH,DIAMETER: 4mm || LENGTH: 40mm || PEER LENGTH: 25mm
1046,Sealent,Sealent
1045,Seal Tape,Seal Tape
D52TD0801,SERVO UNIT,FANUC || A06B-6089-H101
D52TD0804,SERVO UNIT,FANUC || A06B-6089-H104
D52TD0806,SERVO UNIT,FANUC || A06B-6089-H206
D52TD08075,SERVO UNIT,FANUC || TYPE SVU1-80 || P/N: A06B-6089-H105
D52TQ2882,PCB,REXROTH || ELECTICAL AMPLIFIER || TYPE: VT-KRRA2-537-20/V0 || P/N: 0811405082
D73ML2818,PCB,CONTROLLER FOR SPINDLE COOLEER PLANO MILLER HARTFORD || LC-403-S4-B || F2818
A11XV0003A1,STEEL PLATE STRIP,SIZE: 0.3X30X2250 mm || MATERIAL: 65MN HIGH CARBON HARDENED SPRING STEEL
D51ND0001,HAND VALVE,VH302-03 || PORT: RC 3/8 || 2 POSITION
D52TI2102,FLOW SWITCH,IFW510-04-00 || SET FLOW RATE: 1-10 L/min || PORT SIZE: RC 1/2
D52TQ01107,POWER SUPPLY UNIT,FANUC SERIES 18M || TYPE BI || P/N: A16B-1212-0871
D52TQ0950,I/O UNIT,FANUC || P/N: A16B-2200-0950
D73ML0840,CONTROL PCB,FANUC || CONTROL PCB FOR 7.2 LCD || P/N: A20B-2001-0840
B43KN1212,NUT ACTUATOR,HEIGHT: 120mm || WIDTH: 120mm || MATERIAL: ALUMINIUM BRONZE ASTMB505
B43KN3417,NUT ACTUATOR SUPPORT,HEIGHT: 34.2mm || WIDTH: 117mm || MATERIAL: ALUMINIUM BRONZE ASTMB505
B47MB6102,AIR CYLINDER,OA-ADN-46-102-L || DUAL PISTON || STROKE : 102 || BORE DIA : 56桅
B52TO2054,DC INVERTER CONTROL,DIT-543-5 || 3P-AC-400V-50/60Hz P.SUPPLY || 500A OUT. CURRENT || 108kVA RATED CAP. || 300kVA MAX CAP.
D40AD0001,OIL COOLER,COOLER TYPE: AIR COOLER || MOTOR SIZE: 2 || POLE: 4 || FAN MOTOR VOLTAGE: 3 PHASE 380 VAC 50 Hz || FAN MOTOR POWER: 0.18 kW || HEIGHT: 35
D52TO3902,TRANSFORMER,WELDING TRANSFORMER || HFT-160 M-6-27-4D || POWER: 160 KVA || SUPPLY VOLTAGE: 540 V 700 Hz || CURRENT: 18000 A
D612QE0670,CAT,CAT BESI || EMCO || KUNING || SERI 67 || 1 LITER
D62QE0110,CAT,CAT BESI || PUTIH || 1 LITER
D62QE0780,CAT,CAT BESI || EMCO || MERAH || SERI 78 || 1 LITER
D73TI6550,PUMP,CENTRIFUGAL PUMP || COMPLETE SET || 50X40 FSHA51.5 || 3桅 200 VAC 50Hz || 1.5kW || 2 POLE || MECHANICAL SEAL || IN: 50mm || OUT: 40mm
D73TI5037,PUMP,CENTRIFUGAL PUMP || COMPLETE SET || 65X50 FSHA53.7 || 3桅 200 VAC 50Hz || 3.7kW || 2 POLE || MECHANICAL SEAL || IN: 65mm || OUT: 50mm
D73TI5050,PUMP,VERTICAL CENTRIFUGAL PUMP || COMPLETE SET || 50LPD51.5 || 3桅 200 VAC 50Hz || 1.5kW || MECHANICAL SEAL || IN: 50mm || OUT: 50mm
D73TI1520,ROTARY SWITCH,DP SWITCH 01-J-S03S || STEP ANGLE J (15掳) || BINARY || 20 SIDE POSITION
D52TP4337,CHECK VALVE ASSY,HYDRAULIC SHEAR H2565. H3065. H4065. H3013 || NO DRAWING 4014337B || NO. UNIT 18 || NO INDEX 111
D52TO2004,INVERTER,3G3MX2-A4004-E || INPUT: 3 PHASE 380-480 VAC || 50Hz || OUTPUT: 3 PHASE 380- 480 VAC || 0.1-580 Hz || 0.4 KW
D52TH1801,ACCUMULATOR,HYDRAULIC SHEAR || H-3013. H-4013. NO. UNIT 18 || INDEX NO. 15 || TYPE: M210-20l
D52TE6003,ELECTRIC MOTOR,DRUM MOTOR || DIAMETER: 215.5 mm || 380 VAC 50 Hz || 4 POLE || 1.1 kW || SHELL LENGTH: 400 || CYLINDRICAL SHELL || V: 0.611 m/s || STRAIGHT CON
D49CC0220,TIRE RUBBER COUPLING,CA-220 Y || OD: 220 mm
D52TP3604,SOLENOID VALVE,NCT PUNCH PRESS || COMA 506072 || NO UNIT 17 || NO INDEX 206 || TYPE: 3EC-8E
B98MA0111,BLADE,HYDRAULIC SHEAR H-4065 || LOWER BLADE || NO. DRAWING 4011120 || NO. UNIT 02 (MACHINE BODY) || NO INDEX. 73
B98MA0114,BLADE,HYDRAULIC SHEAR H-3065 || UPPER BLADE || NO. DRAWING 4010872 || NO. UNIT 02 (MACHINE BODY) || NO INDEX. 73
D31WH0014,OLI,SLIDE WAY OIL IDEMITSU 68 || ISO VG 68 || 200 LITER
D31WH0023,OLI,GEAR BOX OIL || SAE 90 || API GL 4 || 4 LITER
D31WH0037,OLI,HYDRAULIC OIL SHELL TELLUS 46 || ISO VG 46 || @200 LITER
D31WH02321,OLI,HYDRAULIC OIL IDEMITSU 32A || ISO VG 32 || 200 LITER
D52TQ23062,MAIN CPU BOARD,FANUC SERIES 18M ||  || TYPE CPU-B 6 AXIS || P/N: A16B-3200-0160
D04UF0003,SELANG CO2,ALFAGOMMA ITALY || L-185 || ID 6MM || OD 13 || 20 BAR
A02YP0700,CABLE,WELDING CABLE || 70mm2 || COPPER 100% || PVC INSULATED
A52YB6990,POWER CABLE HOSE ASSY,P/N H669E00 || 10 M LENGTH || A.70 PLASMA
B52TK1545,CABLE COVER,HEAVY DUTY COWHIDE LEATHER || LENGTH 20 M X WIDTH 200 mm || BLACK COLOUR
B52TP0612,TRANSISTOR,NPN TRANSISTOR || TYPE: D2012 || VOLTAGE: 60 V || CURRENT: 3 A
B52TP1720,CENTRAL ADAPTER,WIRE FEEDER CMXL-2302 || P/N : K5512E00
B52TP3622,SOLENOID VALVE,AB2X0018 || 0.6MPa || 24VDC || 1/4
B52TP4421,POTENSIOMETER,5K OHM || RV24YN20S-B502
B73TA6522Q,PCB,OTC XC 500 || P/N: P6522Q
B77TN0701,TORCH BODY,OTC CT.0701 (PLASMA A.70) || P/N: H669H00
B98MA0005,PCB,PLASMA CUTTING OTC M3000 || P/N P6019H00
C79TN6060,PLASMA CUTTING TORCH ASSY,LGK-60 (AG 60) || WELDING CAP 40-60 A || MATERIAL COPPER || 3.8 m HOSE
C91RK0999,PLASMA CUTTING TORCH ASSY,OTC || MODEL : CT-0351 H999
D52TB6901,CONTACTOR,SC-N2 || COIL :220 VAC || ITH: 60 A || AUX CONTACT: 2NC+2NO
D52TI8601,POWER CABLE ASSEMBLY,OTC CT-0351 || P/N: H999D00
D52TO3903,TRANSFORMER,OTC XDS500 || AUX. TRANSFORMER || P/N: W-W05031
D52TO3904,TRANSFORMER,OTC XC 500 || AUX TRANSFORMER || P/N: W-36361A
D52TP0302,RESISTOR,HORN TERMINAL TYPE RESISTOR || 30 SHT 1O J || RESISTANCE: 1 惟 || TOLERANCE : +- 5%
D52TP0901,TRANSFORMER,XD350S || 3筛 TRANSFORMER || P/N: P25000B0
D52TP173510,ADAPTER,WT-3510 || ADAPTER ( WITH SCREW M4 X 8 ) || P/N U4167E00
D52TQ2802,PCB,OTC XC-500 || P/N: P6739R
D52TQ2803,PCB,ACCUTIG P300 || P/N: P7863V
D52TQ2804,PCB,TIME INVERTER || NB-350 || P/N: H153B2-1008-18
D52TQ2805,PCB,TIME INVERTER || NB-350 || P/N: H152B1-1409-389
D52UM0201,TORCH SWITCH,OTC CT-0351 || H999J00
D52UM0202,TOGGLE SWITCH,9 PIN || CURRENT : 15 A || VOLTAGE : 250 VAC || 3 POSITION ON-OFF-ON
D52UM3250,PUSH BUTTON,A2A-4R || RATED: 3A - 250 V
D61RM3235,KAWAT LAS,CIN-1 NS8942 || CAST IRON || UK: 3.2 X 350 mm
D73ML0302,TORCH BODY KIT,OTC || MODEL : CT 0302 || P/N : H705L00
D73ML0702,PLASMA CUTTING TORCH,MODEL: CT-0702 H1059 || CURRENT: 70 A || CABLE LENGTH: 10m
D73ML4167,TORCH BODY,ZIP CP40R || P/N: W000142824
D73ML5020,TORCH BODY,OTC-200A || P/N U5020C00
D73ML5347,TORCH BODY,OTC-350A || P/N U5347B00
D73TI0030,WATER COOLING UNITS,WRC 300 || 220-240 VAC 50 HZ || MAX PRESSURE: 3 BAR || TANK CAP: 9 L
D73TI0500,WELDING EARTH CLAMP,HEAVY DUTY 500 AMP
D73TI0572,STANG LAS PLASMA CUTTING,TYPE S105
D73TI1111,FEED ROLLER,0.8-1.0 MM FEED ROLLER || OTC CM TYPE WIRE FEEDER
D73TI2500,REMOTE CONTROL BOX,XDS 350S || P2500K00
D73TI2510,REMOTE CONTROL BOX,XD500S || P25010K00
D73TI7862,PCB,OTC ACCUTIG 300P || P/N P7862W
D73TI8000,WELDING EARTH CLAMP,HEAVY DUTY 800 A || COPPER BRAID || COPPER BRUSH
D73TR0005,MIG WELD TORCH,BTB MIG GUNS || ORDER NO: Q3015CB5RMC || ALUMINUM WIRE || CURRENRT: 300 A || LENGTH: 4.57 m || POWER PIN: MILLER
D73TR0007,CONTACT TIPS,BTB MIG GUNS || P/N: T1364 || 1.2 mm
D73TR0008,NOZZLES,BTB MIG GUNS || P/N: N1C58Q || BORE DIA: 5/8 || PLATED COPPER
D73TR0009,DIFUSERS,BTB MIG GUNS || P/N: D118Q || 1/8 RECESS
B52TQ2821,WELDING CONTROL PCB,DAIHEN OTC XS/XC  || P/N. P6521-P00
B98EA0154,O-RING,RUBBER  || CS : 1.5 mm  || 脴ID : 4 mm
